주차장관리번호	주차장명	주차장구분	주차장유형	소재지지번주소	소재지도로명주소	소재지(시도)	주차구획수	급지구분	부제시행구분	운영요일	평일운영시작시각	평일운영종료시각	토요일운영시작시각	토요일운영종료시각	공휴일운영시작시각	공휴일운영종료시각	요금정보	주차기본시간	주차기본요금	추가단위시간	추가단위요금	1일주차권요금적용시간	1일주차권요금	월정기권요금	결제방법	특기사항	관리기관명	연락처	위도(WGS84좌표)	경도(WGS84좌표)	데이터기준일자	위도	경도	데이터작성일자	주말운영시작시각	주말운영종료시각	토요일운영종료시각\	1일주차권요금적용시간\	1일주차권	관리기관	경도도(WGS84좌표)
115-3-000002	구로2동 마을공동	공영	노외	서울특별시 구로구 구로2동 317-187	서울특별시 구로구 구로동로28길 81	서울특별시	81	4	요일제	평일+토요일+공휴일	00:00	23:59	00:00	23:59	00:00	23:59	유료	5						65000	신용카드 교통카드		서울특별시 구로구 시설관리공단	02-850-0919			2016-09-06	37.491491	126.8883								
115-3-000003	구로3동 마을공동	공영	노외	서울특별시 구로구 구로3동 797-1	서울특별시 구로구 도림로6길 30	서울특별시	20	5	요일제	평일	08:30	18:30					유료	5						50000	현금		서울특별시 구로구 시설관리공단	02-850-0919			2016-09-06	37.4849810	126.8884080								
115-3-000004	신도림역 환승	공영	노외	서울특별시 구로구 구로5동 1-4	서울특별시 구로구 새말로 121-15	서울특별시	66	4	요일제	평일+토요일+공휴일	00:00	23:59	00:00	23:59	00:00	23:59	유료	5						70000	신용카드 교통카드		서울특별시 구로구 시설관리공단	02-850-0919			2016-09-06	37.5077760	126.8921630								
115-3-000005	구로아트밸리 지하	공영	노외	서울특별시 구로구 구로5동 102	서울특별시 구로구 가마산로25길 21	서울특별시	245	3	요일제	평일+토요일+공휴일	00:00	23:59	00:00	23:59	00:00	23:59	유료	5						112000	신용카드 교통카드		서울특별시 구로구 시설관리공단	02-850-0919			2016-09-06	37.4970570	126.8895590								
115-3-000006	구로5동 마을공동	공영	노외	서울특별시 구로구 구로5동 549-73	서울특별시 구로구 구로5동 549-74	서울특별시	81	4	요일제	평일+토요일+공휴일	00:00	23:59	00:00	23:59	00:00	23:59	유료	5						60000	현금		서울특별시 구로구 시설관리공단	02-850-0919			2016-09-06	37.5008090	126.8860210								
115-3-000007	구로리공원 지하	공영	노외	서울특별시 구로구 구로동 139-82	서울특별시 구로구 구로중앙로 13	서울특별시	203	3	요일제	평일+토요일+공휴일	00:00	23:59	00:00	23:59	00:00	23:59	유료	5						98000	신용카드 교통카드		서울특별시 구로구 시설관리공단	02-850-0919			2016-09-06	37.4908480	126.8915780								
115-3-000008	하늘공원 주차장	공영	노외	서울특별시 구로구 가리봉동 1-11	서울특별시 구로구 벚꽃로 370	서울특별시	198	3	요일제	평일+토요일+공휴일	00:00	23:59	00:00	23:59	00:00	23:59	유료	5						70000	신용카드 교통카드		서울특별시 구로구 시설관리공단	02-850-0919			2016-09-06	37.4873940	126.8805180								
115-3-000009	가리봉 마을공동	공영	노외	서울특별시 구로구 가리봉동 118-11		서울특별시	37	5	요일제	평일+토요일+공휴일	00:00	23:59	00:00	23:59	00:00	23:59	유료	5						50000	현금		서울특별시 구로구 시설관리공단	02-850-0919			2016-09-06	37.4825230	126.8896980								
115-3-000010	고척1동 마을공영	공영	노외	서울특별시 구로구 고척1동 52-54	서울특별시 구로구 중앙로8길 16	서울특별시	88	4	요일제	평일+토요일+공휴일	00:00	23:59	00:00	23:59	00:00	23:59	유료	5						60000	현금		서울특별시 구로구 시설관리공단	02-850-0919			2016-09-06	37.5022610	126.8638820								
115-3-000012	개봉1동 마을공동	공영	노외	서울특별시 구로구 개봉1동 105-6	서울특별시 구로구 개봉1동 105-7	서울특별시	58	5	요일제	평일+토요일+공휴일	00:00	23:59	00:00	23:59	00:00	23:59	유료	5						50000	현금		서울특별시 구로구 시설관리공단	02-850-0919			2016-09-06	37.5057410	126.8448930								
115-3-000013	개봉1동 노외	공영	노외	서울특별시 구로구 개봉1동 136	서울특별시 구로구 경인로33길 50	서울특별시	134	4	요일제	평일+토요일+공휴일	00:00	23:59	00:00	23:59	00:00	23:59	유료	5						70000	신용카드 교통카드		서울특별시 구로구 시설관리공단	02-850-0919			2016-09-06	37.5057410	126.8448930								
115-3-000014	개봉1동 노상	공영	노상	서울특별시 구로구 개봉1동 416-175		서울특별시	119	4	요일제	평일+토요일+공휴일	00:00	23:59	00:00	23:59	00:00	23:59	유료	5						60000	현금		서울특별시 구로구 시설관리공단	02-850-0919			2016-09-06	37.4968860	126.8542050								
115-3-000015	오류1동 텃골공영	공영	노외	서울특별시 구로구 오류1동 6-11	서울특별시 구로구 경인로15길 22	서울특별시	84	4	요일제	평일+토요일+공휴일	00:00	23:59	00:00	23:59	00:00	23:59	유료	5						60000	현금		서울특별시 구로구 시설관리공단	02-850-0919			2016-09-06	37.4953850	126.8392950								
115-3-000016	고척근린공원 지하	공영	노외	서울특별시 구로구 고척동 산 9-14	서울특별시 구로구 고척로45길 39	서울특별시	199	3	요일제	평일+토요일+공휴일	00:00	23:59	00:00	23:59	00:00	23:59	유료	5						112000	신용카드 교통카드		서울특별시 구로구 시설관리공단	02-850-0919			2016-09-06	37.5059170	126.8444271								
115-3-000017	구로4동 주택가 공동	공영	노외	서울특별시 구로구 구로4동 741-44외 4필지	서울특별시 구로구 구로동로 26길 54	서울특별시	198	4	요일제	평일+토요일+공휴일	00:00	23:59	00:00	23:59	00:00	23:59	유료	5						75000	신용카드 교통카드		서울특별시 구로구 시설관리공단	02-850-0919			2016-09-06	37.4897713	126.8783283								
109-1-000001	교육청길	공영	노상	서울특별시 강북구 송중동 137-19	서울특별시 강북구 도봉로20가길 3	서울특별시	94	3	요일제	평일+토요일							유료										강북구도시관리공단	02-944-3025			2016-08-31	37.618735744	127.029717312								
108-1-000002	빨래골	공영	노상	서울특별시 강북구 수유동 49-27	서울특별시 강북구 수유로30	서울특별시	35	3	요일제	평일+토요일							유료										강북구도시관리공단	02-944-3025			2016-08-31	37.6334600166	127.019395516								
108-1-000003	가오천	공영	노상	서울특별시 강북구 수유동 181-1외	서울특별시 강북구 한천로150길 46	서울특별시	66	3	요일제	평일+토요일							유료										강북구도시관리공단	02-944-3025			2016-08-31	37.6436148371	127.025126957								
108-1-000004	구청앞	공영	노상	서울특별시 강북구 수유동 191	서울특별시 강북구 한천로139길	서울특별시	21	1	요일제	평일+토요일							유료										강북구도시관리공단	02-944-3025			2016-08-31	37.6392863732	127.025750917								
108-1-000005	아카데미	공영	노상	서울특별시 강북구 인수동 543-76	서울특별시 강북구 4.19로25길	서울특별시	66	3	요일제	평일+토요일+공휴일							유료										강북구도시관리공단	02-944-3025			2016-08-31	37.6430515822	127.005153163								
108-1-000006	으뜸공원(무인)	공영	노상	서울특별시 강북구 송천동 327-5외	서울특별시 강북구 삼양로54길 133	서울특별시	49	3	요일제	평일+토요일+공휴일							유료										강북구도시관리공단	02-944-3025			2016-08-31	37.6236742027	127.025219927								
108-1-000007	나눔터길	공영	노상	서울특별시 강북구 인수동 605-28외	서울특별시 강북구 수유로	서울특별시	51	3	요일제	평일+토요일							유료										김경태	02-944-3025			2016-08-31	37.6374100669	127.018585332								
109-1-000008	큰마을길	공영	노상	서울특별시 강북구 송천동309-14	서울특별시 강북구 도봉로 117	서울특별시	43	3	요일제	평일+토요일							유료										이준기	02-944-3025			2016-08-31	37.6197524198	127.028245197								
108-1-000009	벽산	공영	노상	서울특별시 강북구 수유동 36-1외	서울특별시 강북구 삼각산로 140	서울특별시	45	3	요일제	평일+토요일							유료										주우일	02-944-3025			2016-08-31	37.6409020993	127.019723763								
